Flowering,Orchid,Orchidaceae,false,5
Tree,Maple,Aceraceae,false,20
Succulent,Aloe Vera,Asphodelaceae,false,3
Carnivorous,Venus Flytrap,Droseraceae,true,2
Fern,Maidenhair Fern,Pteridaceae,false,1
Shrub,Rose,Rosaceae,false,8
Cactus,Saguaro,Cactaceae,false,15
Carnivorous,Pitcher Plant,Sarraceniaceae,true,4
Herb,Lavender,Lamiaceae,false,2
Bamboo,Bamboo,Poaceae,false,7
Flowering,Rose,Rosaceae,false,3
Tree,Oak,Fagaceae,false,15
Succulent,Aloe Vera,Asphodelaceae,false,5
Carnivorous,Venus Flytrap,Droseraceae,true,2
Fern,Maidenhair Fern,Pteridaceae,false,1
Shrub,Lavender,Lamiaceae,false,4
Cactus,Saguaro,Cactaceae,false,10
Carnivorous,Pitcher Plant,Sarraceniaceae,true,3
Herb,Basil,Lamiaceae,false,2
Bamboo,Bamboo,Poaceae,false,7
Flowering,Tulip,Liliaceae,false,2
Tree,Maple,Aceraceae,false,8
Succulent,Jade Plant,Crassulaceae,false,5
Carnivorous,Sundew,Droseraceae,true,1
Fern,Boston Fern,Nephrolepidaceae,false,2
Shrub,Azalea,Ericaceae,false,4
Cactus,Prickly Pear,Cactaceae,false,6
Carnivorous,Nepenthes,Nepenthaceae,true,3
Herb,Mint,Lamiaceae,false,1
Bamboo,Lucky Bamboo,Asparagaceae,false,3
